tir,vpn,vpn_ajuste
0.553096317,273023515.7,273.0235157
0.249836161,274438898,274.438898
0.176506506,273235799.2,273.2357992
0.235135144,278246287.3,278.2462873
0.046891165,271787650.9,271.7876509
0.214988399,277287323.2,277.2873232
0.412338102,278229025.5,278.2290255
0.232958787,273938420.3,273.9384203
0.305337735,275329459.2,275.3294592
0.228120683,281916044.7,281.9160447
0.28706712,271987284.7,271.9872847
0.247431365,274492646.8,274.4926468
0.316304848,275422438.3,275.4224383
0.212427328,272355967.3,272.3559673
0.272435255,278219203,278.219203
0.164755088,277806909.9,277.8069099
0.33897629,270769459.8,270.7694598
0.359393803,278569075.9,278.5690759
0.294328572,275502551.9,275.5025519
0.567890688,275378181.6,275.3781816
0.438148022,276667735.5,276.6677355
0.174058517,275590753.3,275.5907533
0.20819805,274705340.2,274.7053402
0.386687565,272018803.2,272.0188032
0.321020079,274653846.2,274.6538462
0.194330422,270403467.4,270.4034674
0.393219561,278417145.3,278.4171453
0.525145805,274672194.2,274.6721942
0.350673912,271299036.1,271.2990361
0.175110107,276390244,276.390244
0.305968789,281407241.7,281.4072417
0.332927271,273026892.8,273.0268928
0.18116239,273471229.6,273.4712296
0.191048873,274929566.3,274.9295663
0.295879774,274241416.7,274.2414167
0.176527267,272008671.4,272.0086714
0.152618719,277711827.3,277.7118273
0.467575958,277902084.3,277.9020843
0.460543845,274150674,274.150674
0.218083183,273148401.6,273.1484016
0.338938641,275092215.9,275.0922159
0.320824843,269949461.8,269.9494618
0.142696438,274878771.3,274.8787713
0.30834845,270678294.4,270.6782944
0.407383721,276499572.3,276.4995723
0.377034094,276746769.9,276.7467699
0.229875513,274625509.7,274.6255097
0.484225727,273528348,273.528348
0.444195114,271352447.1,271.3524471
0.228423342,271177739.7,271.1777397
0.296644046,273564633.7,273.5646337
0.117363683,275626411.7,275.6264117
0.136713502,274259732.9,274.2597329
0.117087581,275688830.7,275.6888307
0.281729822,276974980.6,276.9749806
0.335599138,273526188.6,273.5261886
0.387602487,270820683.4,270.8206834
0.392170424,275425271.2,275.4252712
0.116639243,269509064.3,269.5090643
0.159373299,275840281.7,275.8402817
0.315456497,278039223,278.039223
0.228036796,273737151.7,273.7371517
0.304624255,273795862,273.795862
0.189368313,271463044.4,271.4630444
0.399787443,269483373.9,269.4833739
0.165827459,274509485.5,274.5094855
0.29879122,273101102.7,273.1011027
0.307106431,272531845.7,272.5318457
0.340586012,275480451.6,275.4804516
0.50690252,275833820.5,275.8338205
0.247337437,272907147.9,272.9071479
0.312537257,275355829.7,275.3558297
0.361561796,275675785.9,275.6757859
0.493973994,272034750.9,272.0347509
0.076126757,281341976.1,281.3419761
0.357697508,272557045.9,272.5570459
0.363653261,279734752.9,279.7347529
0.502956506,270289726.4,270.2897264
0.257086871,278810649.9,278.8106499
0.286931667,270985412.9,270.9854129
0.310820039,271940947.6,271.9409476
0.301259855,277603465.3,277.6034653
0.29150096,277120153.8,277.1201538
0.421816121,277080504.6,277.0805046
